"id","name","local_date","group.localized_location","group.lon","group.lat","description","link"
"whqhwsydckbcc","Master the Art of Public Speaking","2022-07-21","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydckbcc/"
"whqhwsydclbgb","Master the Art of Public Speaking","2022-08-04","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydclbgb/"
"whqhwsydclbxb","Master the Art of Public Speaking","2022-08-18","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydclbxb/"
"whqhwsydcmbcb","Master the Art of Public Speaking","2022-09-01","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydcmbcb/"
"whqhwsydcmbtb","Master the Art of Public Speaking","2022-09-15","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydcmbtb/"
"whqhwsydcmbmc","Master the Art of Public Speaking","2022-09-29","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydcmbmc/"
"whqhwsydcnbrb","Master the Art of Public Speaking","2022-10-06","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydcnbrb/"
"whqhwsydcnbkc","Master the Art of Public Speaking","2022-10-20","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydcnbkc/"
"whqhwsydcpbnb","Master the Art of Public Speaking","2022-11-03","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydcpbnb/"
"whqhwsydcpbgc","Master the Art of Public Speaking","2022-11-17","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydcpbgc/"
