"id","name","local_date","group.localized_location","group.lon","group.lat","description","link"
"kgpjrsydckbkb","Master the Art of Public Speaking","2022-07-07","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/kgpjrsydckbkb/"
"kgpjrsydcjbfc","Master the Art of Public Speaking","2022-06-16","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/kgpjrsydcjbfc/"
"kgpjrsydcjbmb","Master the Art of Public Speaking","2022-06-02","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/kgpjrsydcjbmb/"
"kgpjrsydchbjc","Master the Art of Public Speaking","2022-05-19","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/kgpjrsydchbjc/"
"kgpjrsydchbqb","Master the Art of Public Speaking","2022-05-05","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/kgpjrsydchbqb/"
"kgpjrsydcgblc","Master the Art of Public Speaking","2022-04-21","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/kgpjrsydcgblc/"
"kgpjrsydcgbsb","Master the Art of Public Speaking","2022-04-07","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/kgpjrsydcgbsb/"
"kgpjrsydcfbwb","Master the Art of Public Speaking","2022-03-17","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/kgpjrsydcfbwb/"
"kgpjrsydcfbfb","Master the Art of Public Speaking","2022-03-03","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/kgpjrsydcfbfb/"
"kgpjrsydcdbwb","Master the Art of Public Speaking","2022-02-17","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>In February 2022, we are seeing if an earlier meeting time will work. Come join us at the break of dawn - 6:00am!</p> <p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/kgpjrsydcdbwb/"
"kgpjrsydcdbfb","Master the Art of Public Speaking","2022-02-03","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>In February 2022, we are seeing if an earlier meeting time will work. Come join us at the break of dawn - 6:00am!</p> <p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/kgpjrsydcdbfb/"
"kgpjrsydccbbc","Master the Art of Public Speaking","2022-01-20","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/kgpjrsydccbbc/"
"kgpjrsydccbjb","Master the Art of Public Speaking","2022-01-06","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/kgpjrsydccbjb/"
"mvsnxryccqbmb","Master the Art of Public Speaking","2021-12-02","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/mvsnxryccqbmb/"
"mvsnxryccpbhc","Master the Art of Public Speaking","2021-11-18","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/mvsnxryccpbhc/"
"mvsnxryccpbpb","Master the Art of Public Speaking","2021-11-04","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/mvsnxryccpbpb/"
"mvsnxryccnbsb","Master the Art of Public Speaking","2021-10-21","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/mvsnxryccnbsb/"
"mvsnxryccmbvb","Master the Art of Public Speaking","2021-09-16","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/mvsnxryccmbvb/"
"mvsnxryccmbdb","Master the Art of Public Speaking","2021-09-02","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/mvsnxryccmbdb/"
"mvsnxrycclbzb","Master the Art of Public Speaking","2021-08-19","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/mvsnxrycclbzb/"
"mvsnxrycclbhb","Master the Art of Public Speaking","2021-08-05","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/mvsnxrycclbhb/"
